Municípios;1960;1970;1980;1991;2022;2000;2010;2014;2021
Cidade Ocidental;-;-;-;-;91767;40377;55915;62903;84581
Valparaíso de Goiás;-;-;-;-;198861;94856;132982;150005;196967
Cocalzinho de Goiás;-;-;-;-;25016;14626;17407;18871;24018
Alto Paraíso de Goiás;-;2775;2725;4122;10298;6143;6885;7328;10414
Planaltina;6339;8972;16178;40201;105031;73718;81649;86751;108846
Águas Lindas de Goiás;-;-;-;-;225671;105746;159378;182526;208892
Cristalina;9172;11600;15977;24937;62249;34116;46580;52235;58940
Padre Bernardo;-;8381;15855;16500;34967;21514;27671;30599;34314
Barro Alto;10 910;7 236;11 923 ;9917;10371;8046;8716;9820;11252
Alexânia;8113;9390;12116;16472;27008;20047;23814;25805;28690
Goianésia;18 377;40 769;32887;43447;73708;48748;59549;64861;73201
Cavalcante;6 369;8 258;8 096;8 156;9589;10759;9392;9747;10991
Distrito Federal;140164;537492;1176908;1601094;2817068;2051146;2570160;2852372;2923369
Pirenópolis;26735;32065;29329;25056;26690;21245;23066;24279;26598
Luziânia;27884;32807;92817;207674;208725;141082;174531;191139;196416
Formosa                                 ;22196;28874;43297;62982;115669;78651;100085;110388;112542
Unaí;46306;52303;67885;69612;86619;70033;77565;82298;86867
Buritis;-;9810;15429;18417;24034;20396;22737;24169;25223
São João d’Aliança;2 003;3489;4342;5127;13984;6745;10257;11771;11275
Santo Antônio do Descoberto                        ;-;-;-;35509;72134;51897;63248;69000;68654
Vila Propício;-;-;-;-;5815;3716;5145;5520;5646
Água Fria de Goiás;-;-;-;3976;4954;4469;5090;5451;5546
Arinos;-;-;-;-;17272;17327;17674;18210;18526
Alvorada do Norte;-;4113;6 056;7364;8446;7751;8084;8499;8412
Novo Gama                                                                                     ;-;-;-;-;103804;74380;95018;104899;97976
Cabeceira Grande;-;-;-;-;6627;5920;6453;6818;6485
Cabeceiras;3148;4056;4993;6464;7560;6758;7354;7773;7342
Abadiânia;8436;7772;9030;9402;17228;11452;15757;17701;15498
Flores de Goiás;-;2 274;3 884;5055;13744;5662;12066;13988;11627
Mimoso de Goiás;-;-;4046;3750;2614;2801;2685;2723;2572
Corumbá de Goiás;13909;18439;20212;19663;10562;9679;10361;10896;9801
Simolândia;-;-;4288;5558;5742;6380;6514;6804;5715
Niquelândia;15 501;23736;33485;40739;34964;32486;42361;44895;35609
Vila Boa;-;-;-;-;4215;3287;4735;5371;3686
